"Term","Term Two","Definition","Closest MeSH term","Synonym 1","Synonym 2","Synonym 3","Abbreviation","UK Spelling","US Spelling","Noun Form of Word","Verb Form of Word","Adjective Form of Word","Adverb Form of Word","Commonly Associated Term 1","Commonly Associated Term 2","Commonly Associated Term 3","Commonly Associated Term 4","Commonly Associated Term 5","Commonly Associated Term 6","Commonly Associated Term 7","Commonly Associated Term 8","source","source_priority","sources_contributing","date_added"
"Insular lobe","","Part of cerebral hemisphere buried within the folds of the frontal, parietal, and temporal opercula (adapted from Augustine, 1985)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Medial ventral tegmental area","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nucleus of CNS","","A spatially aggregated collection of nerve cell bodies in the CNS, consisting of one or more subpopulations that share cell type, chemical phenotype, and connections, and including nearby cells that share the same cell type, chemical phenotype, and connections. (CUMBO)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Islands of Calleja of olfactory tubercle","","Part of olfactory tubercle defined by dense aggregations of granule cells","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Isla magna of Calleja","","Regional part of telencephalon; the most prominent of the islands of Calleja located medially in the nucleus accumbens (adapted from Braininfo.org).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Pretectum","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Primary somatosensory cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Primary visual cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Primary motor cortex","","The part of the cerebral cortex that receives projections from the motor thalamus and which projects to motor neurons in the brainstem and spinal cord. The motor cortex corresponds to Brodmann's area 4 (MM). The primary motor cortex, or M1, is located on the precentral gyrus and on the anterior paracentral lobule on the medial surface of the brain. Of the three motor cortex areas, stimulation of the primary motor cortex requires the least amount of electrical current to elicit a movement. http://neuroscience.uth.tmc.edu/s3/chapter03.html","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Periamygdaloid cortex","","Is located ventral to the basal nucleus and has three subdivisions: the periamygdaloid cortex, the medial division, and the sulcal division.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nerve root","","The initial segment of a nerve leaving the central nervous system (Wikipedia).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Temporoparietal junction","","an area of the brain that locates at the interception of temporal and parietal cortices (at the posterior end of the Sylvian fissure).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Anterior limb of internal capsule","","Portion of internal capsule lying between the lenticular nucleus and the head of the caudate nucleus.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Posterior limb of internal capsule","","Portion of internal capsule lying between the globus pallidus and the thalamus (Nolte, The Human Brain, 6th ed., 2009, pg 409, modified by MM)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Commissural nucleus of the solitary tract","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Fundus striati","","The ventral portion of the dorsal striatum, linking the caudate nucleus and the putamen anteriorly (adapted from Wikipedia)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Subventricular Zone","","The subventricular zone (SVZ) is one of two sources of adult-born neurons in the mammalian brain, the other being the subgranular zone (SGZ) of the hippocampus. In most adult mammals, the SVZ is a three-layered sheath that lies along the lateral wall of the lateral ventricle and consists of type A, B, and C cells. Type A rest along the ventricle wall and are neuronal precursor cells, Type B are adjacent astrocytes, and Type C are immature precursors to the Type A neuroblasts. The neuronal precursor cells travel along the rostral migratory stream ensheathed in a tube of Type B astrocytes, until they reach the olfactory bulb. There they integrate into the existing cellular network and mature into local interneurons. While the majority become adult-born granule cells, a subset become periglomerular cells. Interestingly, the human SVZ differs from other mammals' in several ways. It consists of four layers rather than three: ependymal cells (layer I), a hypo cellular gap (layer II), a ribbon of astrocytes (layer III), and a transitional zone (layer IV). The astrocytes are capable of differentiating into many kinds of tissue including new neurons. However, there is no evidence that the proliferating neurons travel along the rostral migratory stream in a chain to populate the olfactory bulb with new interneurons, as is the case for other mammals.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Primary motor cortex lamina VI","","Lamina of primary motor cortex","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Primary somatosensory cortex lamina VI","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Optic recess of third ventricle","","Recess in third ventricle lying in front of the optic chiasm at the base of the lamina terminalis","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Planum polare","","A portion of the superior temporal gyrus near the temporal pole in the human.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hippocampal formation of GP94","","The combined region of Ammon’s horn, subicular complex and dentate gyrus; only fields CA1-CA3 of the hippocampus were considered to be part of the HF, field CA4 being included in the hilus of the dentate gyrus[1]","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Parabrachial pigmented nucleus","","Nucleus identified in the medial ventral tegmental area that borders the red nucleus and superior cerebellar peduncle dorsally, the medial lemniscus laterally, the subtantia nigra pars compacta and paranigral nucleus ventrally and the rostral linear nucleus and interfascicular nucleus medially. Generally, the largest nucleus in the ventral tegmental area, occupying an average of 50% of the total volume as measured in rat, cat, monkey and human.[1]","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Rostral linear nucleus","","Nucleus of the medial ventral tegmental area, originally identified in the rat but also in cat, monkey and human, comprising an average of 7% volume of the VTA across the different species, with the largest being present in the cat.[1]","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Anterior pretectal nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Afferent role","","An axon that is incoming into a brain region. Could also refer to the neuron that gives rise to the axon.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Body membrane","","Part of body that takes the form of a thin sheet of cells or fibrous material, e.g., the meningeal coverings of the brain.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Endoneurium","","The loose connective tissue within the perineurium that continues into nerve fascicles and surrounds individual fibers. (Nolte, J. The Human Brain 3rd edition)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Epineurium","","A loose connective tissue sheath surrounding each peripheral nerve. Composed mainly of colagen and fibroblasts, it forms a substantial covering over nerve trunks, then thins to an incomplete layer around smaller branches near their terminations. The epineurium is continuous centrally with the dura. Peripherally, it usually ends near the termination of a nerve fiber, but it may continue as the capsule of Meissner corpuscles and a few other encapsulated endings. Nolte, J. The Human Brain 3rd edition","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Meninx","","One of three membranous coverings that surrounds the brain and spinal cord","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Perineurium","","A layer of thin, concentrically arranged cells with interspersed collagen that lies within the epineurium. (Nolte, J., The Human Brain 3rd edition)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dura mater","","Thick, fibrous meningeal covering surrounding the brain and spinal cord. It is the outermost of the three meningeal coverings. It consists of two layers: the periosteal dura linking the inner surface of the skull and the meningeal dura that lies above the arachnoid dural membrane. The meningeal layer draws away from the periosteal layer and certain locations to form the dural reflections.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Leptomeninx","","Delicate meningeal covering of the brain and spinal cord, consisting of an outer arachnoid membrane that sits beneath the dura and an inner pial membrane that lies on the surface of the brain and spinal cord.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Arachnoid membrane","","One of two leptomeningeal membranes covering the brain and spinal cord. The arachnoid membrane lies under the dura mater and above the pial membrane. It closely hugs the outside surface of the brain in many places, but does not extend into sulci in gyrencephalic species.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Pial membrane","","The innermost layer of the leptomeninges, consisting of a delicate membrane closely covering the surface of the brain and spinal cord,and lying under the arachnoid membrane. The pia, unlike the arachnoid, extends into the sulci in gyrencephalic animals.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Prefrontal cortex","","The anterior part of the frontal lobes of the brain, lying in front of the motor and premotor areas.

This brain region has been implicated in planning complex cognitive behaviors, personality expression, decision making and moderating correct social behavior. The basic activity of this brain region is considered to be orchestration of thoughts and actions in accordance with internal goals.

The most typical psychological term for functions carried out by the pre-frontal cortex area is executive function. Executive function relates to abilities to differentiate among conflicting thoughts, determine good and bad, better and best, same and different, future consequences of current activities, working toward a defined goal, prediction of outcomes, expectation based on actions, and social ""control"" (the ability to suppress urges that, if not suppressed, could lead to socially-unacceptable outcomes).

Many authors have indicated an integral link between a person's personality and the functions of the prefrontal cortex. - definition adapted from Wikipedia","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Neural system","","A set of neural structures that subserve a specific function, e.g., visual system","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Gustatory system","","The sensory system for the sense of taste.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Motor system","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Olfactory system","","The sensory system used for olfaction, or the sense of smell. Most mammals and reptiles have two distinct parts to their olfactory system: a main olfactory system and an accessory olfactory system. The main olfactory system detects volatile, airborne substances, while the accessory olfactory system senses fluid-phase stimuli. Behavioral evidence indicates that most often, the stimuli detected by the accessory olfactory system are pheromones.

The olfactory system is often spoken of along with the gustatory system as the chemosensory senses because both transduce chemical signals into perception. - definition adapted from Wikipedia","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Neocortex layer 1","","The most superficial layer of the neocortex characterized by a paucity of cell bodies.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Neocortex layer 2","","Layer of neocortex lying just deep to molecular layer characterized by numerous small cell bodies.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Neocortex layer 3","","Layer of neocortex lying deep to the external granule cell layer defined cytoarchitecturally by numerous small pyramidal neurons.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Neocortex layer 4","","Layer of neocortex lying deep to the external pyramidal cell layer defined cytoarchitecturally by the presence of numerous small cells","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Neocortex layer 5","","Layer of neocortex lying deep to the internal granule cell layer (layer 4) defined cytoarchitecturally by the predominance of large pyramidal cell bodies","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Neocortex layer 6","","Innermost layer of neocortex lying deep to the internal pyramidal cell layer defined cytoarchitecturally by cells of varying size.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Proprioceptive system","","The sensory system for the sense of proprioception.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Sensorimotor","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Sensory system","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Auditory system","","The sensory system for the sense of hearing.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Somatosensory system","","The sensory system for the sense of touch and pain.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Vestibular system","","The sensory system for the sense of balance.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Blood vessel","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Capillary","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Corona radiata","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Parasubiculum","","A transitional zone between the presubiculum and the entorhinal area in the mouse (Paxinos-2001), the rat (Swanson-1998) and the primate (Zilles-1990). Defined on the basis of cytoarchitecture, it is more similar to the presubiculum than to the entorhinal area (Zilles-1990). (from Brain Info)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Piriform cortex layer 1","","Most superficial of 3 cytoarchitecturally defined layers of the piriform cortex, characterized by few neuronal cell bodies. It has been divided into a superficial part and a deep part.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Piriform cortex layer 1a","","Superficial part of plexiform layer (layer 1) of piriform cortex that receives afferents from the olfactory bulb by way of the lateral olfactory tract.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Piriform cortex layer 1b","","Deeper part of the plexiform (layer 1) of piriform cortex characterized by projection of association fibers from other parts of the piriform cortex and other olfactory areas","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Piriform cortex layer 2","","Middle of three cytoarchitecturally defined layers of the piriform cortex characterized by a compact layer of cell bodies. It can be divided into a superficial part and a more densely packed deep part","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Piriform cortex layer 2a","","Superficial region of layer 2 of the piriform cortex characterized by a less dense packing of cells and a concentration of semilunar cell bodies","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Piriform cortex layer 2b","","Deeper of two subdivisions of piriform layer 2 characterized by more densely packed cell bodies dominated by pyramidal cell bodies.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Piriform cortex layer 3","","Deepest of 3 cytoarchitecturally defined layers of the piriform cortex characterized by a moderately high density of pyramidal cells and large numbers of basal dendrites descending from pyramidal cells in layer 2.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Endopiriform nucleus","","An elongated nucleus consisting largely of multipolar spiny cells lying deep to the piriform cortex. 
According to Price (1990; pp. 979-998 in The Human Nervous System, G. Paxinos, (Ed.), Academic Press, San Diego), it is part of the claustrum.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Olfactory bulb main mitral cell body layer","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Grumose foamy spheroid body","","Grumose foamy spheroid body is a spheroidal supracellular structure with a foamy appearance in haematoxylin and eosin stains that vary from 10 to 50 microns in diameter and contain amorphous debris-like material found in the brains in certain neurodegenerative conditions.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lamina I of gray matter of spinal cord","","Cytoarchitectural part of spinal cord gray matter","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Spinal cord grey matter","","Spinal cord grey matter is composed of the spinal cord dorsal horn, ventral horn and intermediate horn (or lateral horn).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Somatic peripheral nervous system","","Part of peripheral nervous system that includes the somatic parts of the cranial and spinal nerves and their ganglia and the peripheral sensory receptors.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Ganglion","","Subdivision of nervous system which primarily consists of cell bodies of neurons located outside the neuraxis (brain and spinal cord. Examples: spinal ganglion, trigeminal ganglion, superior cervical ganglion, celiac ganglion, inferior hypogastric (pelvic) ganglion (adapted from Foundational Model of Anatomy).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Parasympathetic ganglion","","Ganglion containing neurons that receive innervation from parasympathetic neurons in the central nervous system and subserves parasympathetic functions through innervation of smooth muscle, cardiac muscle and glands.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Ciliary ganglion","","The ciliary ganglion is a parasympathetic ganglion located in the posterior orbit. It measures 1–2 millimeters in diameter and contains approximately 2,500 neurons (adapted from Wikipedia)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of nose","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Myenteric Plexus","","One of two ganglionated neural networks which together form the ENTERIC NERVOUS SYSTEM. The myenteric (Auerbach's) plexus is located between the longitudinal and circular muscle layers of the gut. Its neurons project to the circular muscle, to other myenteric ganglia, to submucosal ganglia, or directly to the epithelium, and play an important role in regulating and patterning gut motility.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dorsal cap of Kooy","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Medial accessory olive","","Regional part of the inferior olivary complex","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dorsal accessory olive","","Regional part of inferior olivary complex","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Basal ganglia of rodent","","The basal ganglia of the rodent","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Caudoputamen","","Regional part of telencephalon in some species, e.g., rodent, equivalent to the dorsal striatum (caudate nucleus and putamen). Unlike the dorsal striatum of primates, for example, the caudoputamen is not split into separate nuclei by the fibers of the internal capsule. Rather, the internal capsule splits into fiber bundles which course through the structure.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Organum vasculosum lamina terminalis","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Subfornical organ","","Group of neurons situated on the ventral surface of the fornix at the level of the foramen of Munro in the third ventricle (adapted from Wikipedia)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"White matter","","Parts of nervous system characterized by high concentrations of myelinated axons, giving a white glossy appearance in gross preparations.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nucleus gigantocellularis","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Olfactory bulb (accessory) mitral cell body layer","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Subbrachial nucleus","","A group of cells ventral to the nucleus of brachium of inferior colliculus in the mouse (Paxinos-2001).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Subbrachial nucleus of mouse of Franklin and Paxinos 2008","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Postrhinal cortex of rodent of Burwell et al 1995","","Cortical region lying caudal to the perirhinal cortex in the rat. It encompasses the caudal levels of area 35 and the caudal portion of area 36 (ectorhinal cortex). It is bordered medially by agranular retrosplenial cortex and ventrally by the entorhinal cortex (with the exception of the caudomedial portion). The authors note that the ventral portion of the postrhinal cortex in rat may by homologous with the parahippocampal cortex in the monkey.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Perirhinal cortex","","Region of cortex near to the rhinal sulcus. It is defined differently in different nomenclatures, due in part to the lack of agreement on the definition of the border of this region. In the rat, the perirhinal cortex occupies only caudal levels of the rhinal sulcus while in the monkey, it occurpies the full rostrocaudal extent of the rhinal sulcus (Burwell et al., Hippocampus, 5: 390-408, 1995).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Olfactory bulb main glomerulus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lamina dissecans of entorhinal cortex","","Acellular layer of entorhinal cortex, usually identified as layer IV in some nomenclatures (Paxinos, The rat nervous system, Academic Press, 1995, pg 473-474).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Sommer's sector","","Part of hippocampal formation comprising area CA1 and the subiculum (pg 425, Heimer, L. The human brain and spinal cord, Springer-Verlag, 1995)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Olfactory bulb main olfactory nerve layer","","Superficial layer of the main olfactory bulb containing axons from the olfactory nerve and glial cells","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Olfactory bulb main glomerular layer","","The glomerular layer of the main olfactory bulb, lying deep to the olfactory nerve layer. It contains the glomeruli, neuropil rich spheroid structures surrounded by a distinctive shell of small neuros and glial cells (Paxinos, the Rat Nervous System, 2nd ed., Academic Press, 1995).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Telencephalon of primate","","The telencephalon of the primate","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Perirhinal cortex of Burwell et al 1995","","Rostral portion of the parahippocampal cortex","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Perirhinal cortex of primate of Burwell et al 1995","","Cortical region near the rhinal sulcus in primate encompassing Brodmann's areas 35 and 36","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Telencephalon of rodent","","The telencephalon of a rodent","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Brain of rodent","","The brain of a rodent","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Perirhinal cortex of rodent of Burwell et al 1995","","Cortical region surrounding the posterior rhinal sulcus in the rat, encompassing areas 35 and 36 in the rat. Rostraly, it abuts the posterior insular cortex","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Vomeronasal nerve","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Olfactory bulb main of rodent","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Molecular system","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Histaminergic system","","any molecule, protein, cell, tissue or organ that is related to histamine.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Catecholamine system","","any molecule, protein, cell, tissue or organ that is related to the catecholamines.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Adrenergic system","","any molecule, protein, cell, tissue or organ that is related to epinephrine (also known as adrenaline).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"GABAergic system","","any molecule, protein, cell, tissue or organ that is related to GABA.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Glutamatergic system","","any molecule, protein, cell, tissue or organ that is related to glutamate (when in the role of a neurotransmitter).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Serotonergic system","","any molecule, protein, cell, tissue or organ that is related to serotonin.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Noradrenergic system","","any molecule, protein, cell, tissue or organ that is related to norepinephrine (also known as noradrenaline).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cholinergic system","","any molecule, protein, cell, tissue or organ that is related to acetylcholine.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cytoarchitectural part of retina","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Retina ganglion cell layer","","Cytoarchitectural layer of retina that contains somata of retinal ganglion cells","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Retina inner nuclear layer","","Cytoarchitectural layer of retina containing closely packed cell bodies, the majority of which are bipolar cells (adapted from Wikipedia).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Retina inner plexiform layer","","Cytoarchitectural layer of the retina that is made up of a dense reticulum of fibrils formed by interlaced dendrites of retinal ganglion cells and cells of the inner nuclear layer (adapted from Wikipedia)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cytoarchitectural part of superior colliculus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Superior colliculus superficial gray layer","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Bed nuclei of the stria terminalis oval nucleus","","Part of bed nucleus of stria terminalis, comprising a distinct, large, egg-shaped collection of neurons that, together with the juxtacapsular (Ju) and rhomboid (Rh) nuclei, encompass the anterolateral area of the BST (Ju and Swanson, 1989)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Spinocerebellar tract","","This tract conveys interoceptive, proprioceptive, and exteroceptive information from the body's internal organs, and from the trunk, extremities, and neck region to the Cerebellum.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Olfactory tubercle","","Region in the ventral telencephalon, prominent in rodents, but present in all mammals, consisting of a laminated cortical part and the cap/hilus region. It is traditionally viewed as part of the olfactory cortex but recognized by some as having a striatal character. According to many authors, the structure of the OT transitions from cortical like to striatal like along the lateral medial axis. (Maryann Martone)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"CA1 alveus","","CA1 portion of the alveus","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"CA3 alveus","","Part of alveus lying within hippocampal sector CA3","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"CA3 stratum lucidum","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dorsal Striatum","","Dorsal components of the striatum comprising the caudate nucleus and the putamen, in species that have distinct nuclei; the caudoputamen in species which don't.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Subthalamic nucleus","","Lens shaped nucleus lying in the subthalamus","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Matrix part of body of caudate nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Striosomal part of body of caudate nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Matrix part of head of caudate nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Matrix part of tail of caudate nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Striosomal part of tail of caudate nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Sacral spinal cord central canal","","Part of spinal cord central canal contained in the sacral spinal cord. It is continuous rostrally with the spinal cord central canal of the lumbar cord.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Pineal gland","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Part of neuraxis","","Part of brain and spinal cord excluding retina.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Ansa lenticularis","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Central tegmental tract","","A pathway containing fibers from midbrain nuclei that project to the inferior olivary complex, as well as fibers originating in the pontine reticular formation and the medullary reticular formation that project to several nuclei of the thalamus. It can be identified in the midbrain and the pons (Adapted from Brain Info).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"External capsule","","Thin band of white matter that separates the medial aspect of the putamen from the lateral aspect of the globus pallidus external division","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
