Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Multisensory integration,,"The process by which the brain combines information from different sensory modalities (e.g., vision and sound) to create coherent perception.",Perception,,,,,,,,integrate,multisensory,,sensory modalities,perception,vision,audition,cross-modal processing,sensory processing,superior colliculus,
Myelin,,"A fatty substance that insulates axons, increasing the speed and efficiency of action potential conduction. Formed by oligodendrocytes in the CNS and Schwann cells in the PNS.",Myelin Sheath,,,,,,,,,myelinated,,axon,action potential,oligodendrocyte,Schwann cell,saltatory conduction,white matter,demyelination,
Myelination,,"The process of forming a myelin sheath around axons, critical for normal neural function. Occurs progressively during development.",Myelin Sheath,,,,,,,,myelinate,,,myelin,axon,oligodendrocyte,Schwann cell,neural development,white matter,brain development,
Myoclonus,,"Sudden, involuntary muscle jerks or twitches. Can be physiological (e.g., sleep starts) or associated with neurological disorders.",Myoclonus,,,,,,,,,myoclonic,,muscle jerk,involuntary movement,movement disorder,sleep starts,epilepsy,neurological disorder,,
Metabolism,,"Metabolism is the process by which the body processes food and other substances into a form that can be used to create energy. In the metabolic process, a substance can be broken down, absorbed, and used.",Metabolism,Metabolic processes,,,,,,,Metabolism,Metabolize,Metabolic,Metabolically,Cellular respiration,ATP production,Mitochondria,Glucose metabolism,Oxidative phosphorylation,Catabolism,Anabolism,Energy production
Multi-infarct Dementia,,Multi-infarct dementia is a common cause of memory loss in older people and is caused by multiple strokes which damage brain tissue.,,,Post-stroke dementia,,MID,,,Dementia,,Dementia-related,,Cerebrovascular disease,Stroke,Cognitive decline,Brain ischemia,White matter lesions,Lacunar infarcts,Vascular cognitive impairment,Cerebral infarction
Myelin Sheath,,"The myelin sheath is the insulating layer surrounding the axon, the message sender of the nerve cell.",Myelin,Myelin layer,,,,,,,,,Myelinated,,Axons,Oligodendrocytes,Schwann cells,Saltatory conduction,White matter,Node of Ranvier,Demyelination,Action potential
Myelitis,,Myelitis is an inflammation of the spinal cord. It can damage the myelin that covers the fibers of the nerve cell.,Myelitis,Spinal cord inflammation,,,,,,Myelitis,Inflame,Myelitic,,Spinal cord,Inflammation,Demyelination,Paraplegia,Transverse myelitis,Multiple sclerosis,Autoimmune disorder,Neuroinflammation
Myotonia,,Myotonia is an impairment in a person's ability to relax a muscle or group of muscles.,Myotonia,Muscle stiffness,Delayed relaxation,Prolonged contraction,,,,Myotonia,,Myotonic,Myotonically,Skeletal muscle,Muscle relaxation,Chloride channels,Myotonic dystrophy,Channelopathy,Muscle contraction,Neuromuscular junction,Ion channels
N-acetylaspartate,Nacetylaspartate,"A molecule found predominantly in neurons, often measured via magnetic resonance spectroscopy as a marker of neuronal health and density.",Aspartic Acid,,,,NAA,,,,,,,neuron,magnetic resonance spectroscopy,neuronal health,neuronal density,brain metabolism,neurotransmitter precursor,,
Narcolepsy,,"A neurological disorder characterized by excessive daytime sleepiness, sudden sleep attacks, and sometimes cataplexy. It involves dysfunction in the brain's regulation of sleep-wake cycles.",Narcolepsy,sleep disorder,,,,,,narcolepsy,,narcoleptic,,sleep,cataplexy,hypocretin,orexin,excessive daytime sleepiness,REM sleep,sleep-wake cycle,hypothalamus
Nasal cavity,,"The air passageway behind the nose that houses the olfactory epithelium, which contains sensory neurons responsible for detecting odors.",Nasal Cavity,,,,,,,,,nasal,,olfaction,olfactory epithelium,sensory neurons,odor detection,respiratory system,nose,,
Neocortex,,"The largest part of the cerebral cortex, involved in higher-order brain functions such as sensory perception, motor commands, reasoning, and language.",Neocortex,,,,,,,,,neocortical,,cerebral cortex,sensory perception,motor control,reasoning,language,cognition,higher-order function,
Neologism,,"A newly coined word or expression. In neuropsychology, may refer to nonsensical or made-up words produced by individuals with certain types of aphasia.",Neologisms,,,,,,,neologism,,neologistic,,aphasia,language disorder,speech production,Wernicke aphasia,cognitive disorder,,,
Neostriatum,,A subdivision of the basal ganglia comprising the caudate nucleus and putamen. It is involved in motor control and reward processing.,Neostriatum,dorsal striatum,,,,,,,,neostriatal,,basal ganglia,caudate nucleus,putamen,motor control,reward processing,dopamine,,
Neural crest,,"A group of embryonic cells that gives rise to various structures, including peripheral neurons, glia, and parts of the face and skull.",Neural Crest,,,,,,,,,,,embryonic development,peripheral neurons,glia,neural development,craniofacial development,migration,,
Neural oscillation,,"Rhythmic or repetitive electrical activity in the central nervous system, often observed as brain waves in EEG recordings.",Brain Waves,brain wave,brain rhythm,,,,,,oscillate,,,EEG,brain activity,synchronization,neural network,alpha wave,theta wave,gamma wave,delta wave
Neural plasticity,,"The ability of the nervous system to change its structure and function in response to experience, injury, or development.",Neuronal Plasticity,neuroplasticity,brain plasticity,synaptic plasticity,,,,,,plastic,,learning,memory,synapse,neural development,brain injury,recovery,adaptation,
Neural stem cell,,A self-renewing progenitor cell capable of generating neurons and glial cells. Found in the developing brain and certain adult brain regions such as the hippocampus.,Neural Stem Cells,NSC,,,NSC,,,,,,,neurogenesis,progenitor cell,hippocampus,brain development,self-renewal,differentiation,glia,
Neurodegeneration,,"The progressive loss of structure or function of neurons, often leading to cell death. Seen in disorders such as Alzheimer's disease and Parkinson's disease.",Neurodegenerative Diseases,,,,,,,,neurodegenerate,neurodegenerative,,neuron,cell death,Alzheimer disease,Parkinson disease,protein aggregation,neuronal loss,,
Neurodevelopment,,"The biological processes through which the nervous system grows and matures, including neurogenesis, migration, synaptogenesis, and myelination.",Nervous System,,,,,,,,,neurodevelopmental,,neurogenesis,synaptogenesis,myelination,brain development,neural migration,maturation,,
Neuroeconomics,,"An interdisciplinary field that combines neuroscience, psychology, and economics to study decision-making and reward processing in the brain.",,,,,,,,,,,,decision-making,reward,neuroscience,psychology,economics,prefrontal cortex,,
Neuroepithelial cell,,"A type of cell in the developing neural tube that gives rise to neural progenitor cells, which later differentiate into neurons and glia.",,,,,,,,,,,,neural tube,progenitor cell,neurogenesis,brain development,differentiation,embryonic development,,
Neuroethology,,"The study of the neural basis of natural animal behavior, often involving model species and evolutionary comparisons.",,,,,,,,,,,,animal behavior,neuroscience,evolution,sensory system,motor control,comparative neuroscience,,
Neurofilament,,"A type of intermediate filament found in neurons, important for maintaining cell shape and axonal transport.",Neurofilament Proteins,,,,,,,,,,,neuron,cytoskeleton,axonal transport,cell structure,intermediate filament,axon,,
Neurofibrillary tangle,,"A pathological hallmark of Alzheimer's disease, composed of hyperphosphorylated tau protein that disrupts normal neuronal function.",Neurofibrillary Tangles,NFT,tau tangle,,NFT,,,,,,,Alzheimer disease,tau protein,hyperphosphorylation,neurodegeneration,dementia,neuropathology,,
Neurogenesis,,The process by which new neurons are generated from neural stem or progenitor cells. Continues into adulthood in specific brain regions.,Neurogenesis,,,,,,,,,,,neural stem cell,progenitor cell,hippocampus,brain development,adult neurogenesis,dentate gyrus,,
Neuroglia,,"Also known as glial cells, these support, protect, and nourish neurons. Types include astrocytes, oligodendrocytes, and microglia.",Neuroglia,glia,glial cells,,,,,,,,,astrocyte,oligodendrocyte,microglia,Schwann cell,support cells,myelin,blood-brain barrier,
Neuroimaging,,"Techniques used to visualize the structure or function of the nervous system, including MRI, fMRI, PET, and EEG.",,,,,,,,,,,,MRI,fMRI,PET scan,EEG,brain structure,brain function,neuroscience,
Neurologic examination,,"A systematic clinical assessment of motor, sensory, reflex, and cognitive function to diagnose disorders of the nervous system.",Neurologic Examination,neurological examination,,,,,,,examine,,,motor function,sensory function,reflex,cognition,diagnosis,clinical neurology,,
Neuromodulation,,"The physiological process by which a given neuron uses chemicals to regulate diverse populations of neurons. May be endogenous (e.g., dopamine) or externally applied via electrical stimulation.",Neural Inhibition,,,,,,,,neuromodulate,,,neuron,neurotransmitter,dopamine,electrical stimulation,synaptic transmission,neural regulation,,
Neuromodulator,,"A substance that alters the effectiveness of synaptic transmission without directly causing excitatory or inhibitory postsynaptic potentials. Examples include serotonin, acetylcholine, and norepinephrine.",,,,,,,,,,,,synaptic transmission,serotonin,acetylcholine,norepinephrine,dopamine,neurotransmission,synapse,
Neuron,,"A specialized cell in the nervous system that transmits electrical and chemical signals. Composed of a cell body, axon, and dendrites.",Neurons,nerve cell,,,,,,,,neuronal,,cell body,axon,dendrite,synapse,action potential,neurotransmitter,nervous system,
Neuropil,,"A dense network of interwoven nerve fibers, dendrites, and glial processes where synaptic activity occurs, commonly found in the gray matter of the brain.",Neuropil,,,,,,,,,,,dendrite,axon,synapse,gray matter,neural network,glial process,,
Neuroplasticity,,See neural plasticity.,Neuronal Plasticity,,,,,,,,,,,neural plasticity,synaptic plasticity,learning,memory,brain development,,,
Neuroprosthetics,,"A field that develops devices that interface with the nervous system to restore lost function, such as cochlear implants or brain-computer interfaces.",,neural prosthetics,,,,,,,,,,brain-computer interface,cochlear implant,neural interface,assistive technology,neuroengineering,rehabilitation,,
Neuropsychiatry,,"A medical field combining aspects of neurology and psychiatry to treat disorders with both neurological and psychiatric components, such as OCD or Tourette syndrome.",,,,,,,,,,,,neurology,psychiatry,OCD,Tourette syndrome,mental health,brain disorder,,
Neuropsychology,,"The study of the relationship between brain function and behavior, often using cognitive testing and brain imaging to assess individuals with brain injury or disease.",Neuropsychology,clinical neuropsychology,,,,,,,,neuropsychological,,brain function,behavior,cognitive assessment,brain injury,brain imaging,cognition,,
Neuroscience,,"The scientific study of the nervous system, encompassing a wide range of disciplines from molecular biology and anatomy to behavior and cognition.",Neurosciences,,,,,,,,,,,nervous system,brain,neuron,cognition,behavior,molecular biology,neuroanatomy,
Neurosecretion,,"The release of signaling molecules (such as hormones) by specialized neurons, often into the bloodstream, as in the hypothalamus-pituitary gland axis.",,,,,,,,,neurosecrete,neurosecretory,,hormone,hypothalamus,pituitary gland,endocrine system,neuron,signaling molecule,,
Neurosteroids,,"Steroid molecules synthesized in the brain that modulate neuronal excitability and synaptic function, often via GABA and NMDA receptors.",Neurosteroids,,,,,,,,,,,steroid,brain,neuronal excitability,GABA,NMDA receptor,synaptic function,,
Neurotransmitter,,"A chemical substance released at the end of a neuron's axon that transmits a signal across a synapse to another cell. Examples include glutamate, dopamine, and serotonin.",Neurotransmitter Agents,,,,,,,,,,,synapse,glutamate,dopamine,serotonin,GABA,acetylcholine,chemical transmission,
Nodes of Ranvier,,Regularly spaced gaps in the myelin sheath of axons that allow for saltatory conduction of action potentials.,,,,,,,,,,,,myelin sheath,axon,saltatory conduction,action potential,oligodendrocyte,Schwann cell,nerve conduction,
Nociception,,"The sensory perception of pain, including detection of noxious stimuli and the signaling pathways that convey pain information to the brain.",Nociception,,,,,,,,,nociceptive,,pain,sensory perception,noxious stimulus,pain pathway,somatosensory system,spinal cord,,
Nucleus accumbens,,"A region of the basal forebrain involved in reward, pleasure, and addiction. Rich in dopamine and a key component of the brain's reward circuit.",Nucleus Accumbens,NAc,ventral striatum,,NAc,,,,,,,reward,dopamine,addiction,basal forebrain,motivation,pleasure,mesolimbic pathway,
Nystagmus,,"Rapid, involuntary eye movements that may be physiological or result from vestibular or neurological disorders.","Nystagmus, Pathologic",,,,,,,,,,,eye movement,vestibular system,neurological disorder,ocular motor,vision,balance,,
Nervous System,,"The nervous system includes the brain, spinal cord, and nerves throughout the body. It sends messages to and from the brain to the rest of the body.",,Neural system,Neurological system,,,,,Nervous system,,,,Central nervous system,Peripheral nervous system,Autonomic nervous system,Brain,Spinal cord,Neurons,Neurotransmission,Synapses
Neuropathy,,"Neuropathy is an umbrella term that refers to damage or disease in the nerves, which can cause numbness or weakness.",,Nerve damage,Nerve disease,,,,,,Neuropathy,,,,Peripheral nerves,Axonal degeneration,Demyelination,Sensory loss,Motor weakness,Autonomic dysfunction,Polyneuropathy,Peripheral neuropathy
Neurosarcoidosis,,Neurosarcoidosis is a chronic inflammatory disorder in the nervous system. Sarcoidosis primarily affects the lungs but can impact almost every other organ and system in the body.,Sarcoidosis,CNS sarcoidosis,Neurological sarcoidosis,,,,,Neurosarcoidosis,,,,Sarcoidosis,Granulomatous inflammation,Central nervous system,Cranial neuropathy,Meningitis,Hydrocephalus,Spinal cord lesions,Autoimmune disorder
Neurotoxicity,,Neurotoxicity happens when exposure to toxic substances affects the normal activity of the nervous system.,Neurotoxicity,Neural toxicity,,,,,,,Neurotoxicity,,Neurotoxic,Neurotoxically,Neurotoxins,Excitotoxicity,Blood-brain barrier,Oxidative stress,Neurodegeneration,Apoptosis,Heavy metals,Chemical exposure
Obex,,The point in the brainstem where the fourth ventricle narrows to become the central canal of the spinal cord. Used as an anatomical landmark in neuroanatomy.,Fourth Ventricle,,,,,,,,,,,brainstem,fourth ventricle,central canal,spinal cord,neuroanatomy,anatomical landmark,,
Occipital lobe,,"The rearmost lobe of the cerebral cortex, primarily responsible for visual processing, including interpretation of color, motion, and spatial orientation.",Occipital Lobe,,,,,,,,,occipital,,cerebral cortex,visual processing,visual cortex,color perception,motion detection,spatial orientation,,
Ocular dominance,,A preference of neurons in the visual cortex for input from one eye over the other. Studied extensively in visual development and plasticity.,"Dominance, Ocular",eye dominance,,,,,,,,,,visual cortex,visual development,neural plasticity,binocular vision,critical period,ocular dominance columns,,
Oculomotor nerve,,"A cranial nerve that controls most of the eye's movements, including those of the eyelid and pupil constriction. Damage may result in diplopia or ptosis.",Oculomotor Nerve,cranial nerve III,third cranial nerve,,CN III,,,,,oculomotor,,eye movement,pupil constriction,eyelid movement,diplopia,ptosis,extraocular muscles,midbrain,
Olfaction,,"The sense of smell, mediated by receptors in the olfactory epithelium and processed in the olfactory bulb and related brain regions.",Olfactory Perception,smell,,,,,,,,olfactory,,olfactory epithelium,olfactory bulb,olfactory receptors,odor,smell perception,chemoreception,,
Olfactory bulb,,The first brain structure to process olfactory (smell) information. Receives input from sensory neurons in the nasal cavity and sends projections to the olfactory cortex and limbic system.,Olfactory Bulb,,,,OB,,,,,,,olfaction,olfactory cortex,limbic system,sensory processing,glomeruli,mitral cells,olfactory receptor neurons,
Olfactory cortex,,A region of the brain involved in odor identification and perception. Includes the piriform cortex and parts of the amygdala and entorhinal cortex.,Olfactory Cortex,primary olfactory cortex,,,,,,,,,,piriform cortex,amygdala,entorhinal cortex,odor perception,smell processing,olfactory bulb,,
Olfactory nerve,,"The first cranial nerve, responsible for transmitting smell information from the nose to the brain.",Olfactory Nerve,cranial nerve I,first cranial nerve,,CN I,,,,,olfactory,,smell,olfactory bulb,olfactory epithelium,olfactory receptors,chemoreception,,,
Oligodendrocyte,,"A type of glial cell in the central nervous system that forms the myelin sheath around axons, enabling rapid signal conduction.",Oligodendroglia,,,,,,,,,,,myelin sheath,glial cell,central nervous system,myelination,axon,white matter,saltatory conduction,
Ontogeny,,"The development of an individual organism, particularly the growth and differentiation of the nervous system from embryo to adult.",,ontogenesis,,,,,,,,ontogenetic,ontogenetically,development,nervous system development,differentiation,embryology,maturation,phylogeny,,
Operculum (brain),Operculum brain,"A part of the cerebral cortex that covers the insula. It includes portions of the frontal, temporal, and parietal lobes.",Cerebral Cortex,cortical operculum,,,,,,,,opercular,,insula,frontal lobe,temporal lobe,parietal lobe,cerebral cortex,,,
Opsin,,A light-sensitive protein found in photoreceptor cells of the retina. Plays a key role in the molecular detection of light in vision.,Opsins,,,,,,,,,,,photoreceptor,retina,vision,rhodopsin,phototransduction,G-protein-coupled receptor,,
Optic chiasm,,"The point at which the optic nerves from both eyes partially cross, allowing visual information from each eye to be processed in both hemispheres of the brain.",Optic Chiasm,optic chiasma,,,,,,,,,,optic nerve,visual pathway,visual field,lateral geniculate nucleus,binocular vision,decussation,,
Optic nerve,,A cranial nerve that transmits visual information from the retina to the lateral geniculate nucleus of the thalamus.,Optic Nerve,cranial nerve II,second cranial nerve,,CN II,,,,,optic,,retina,lateral geniculate nucleus,thalamus,visual pathway,optic chiasm,vision,,
Optic tract,,The continuation of the optic nerve fibers after the optic chiasm; carries visual information to the thalamus and midbrain.,Optic Tract,,,,,,,,,,,optic nerve,optic chiasm,thalamus,midbrain,visual pathway,lateral geniculate nucleus,,
Optogenetics,,A technique that uses light-sensitive proteins to control the activity of genetically targeted neurons. Widely used in neuroscience research to study circuit function.,Optogenetics,,,,,,,,,optogenetic,optogenetically,channelrhodopsin,neural circuits,light-sensitive proteins,neuroscience research,genetic targeting,neuronal activity,opsins,
Orbitofrontal cortex,,"A prefrontal brain region involved in decision-making, reward processing, and emotional regulation. Dysfunction is linked to addiction and impulsivity.",Prefrontal Cortex,,,,OFC,,,,,orbitofrontal,,prefrontal cortex,decision-making,reward processing,emotional regulation,addiction,impulsivity,,
Organ of Corti,,The sensory organ within the cochlea that contains hair cells and is responsible for converting sound vibrations into neural signals.,Organ of Corti,spiral organ,,,,,,,,,,cochlea,hair cells,auditory system,hearing,mechanotransduction,basilar membrane,,
Orientation column,,A vertical column of neurons in the visual cortex that respond to lines of the same orientation. Part of the brain's system for processing visual features.,,orientation-selective column,,,,,,,,,,visual cortex,orientation selectivity,cortical column,visual processing,feature detection,primary visual cortex,,
Oscillation,,"Repetitive rhythmic activity in neurons or neural networks. Neural oscillations, such as alpha waves and gamma waves, are observed in brain activity recordings.",,neural oscillation,brain rhythm,,,,,,oscillate,oscillatory,,neural networks,alpha waves,gamma waves,brain waves,EEG,rhythmic activity,synchronization,
Otolith organs,,Structures in the vestibular system (the utricle and saccule) that detect linear acceleration and head position relative to gravity.,Otolithic Membrane,,,,,,,,,otolithic,,vestibular system,utricle,saccule,linear acceleration,gravity detection,balance,inner ear,
Orthostatic Hypotension,,Orthostatic hypotension is a medical term that refers to a sudden drop in blood pressure when a person stands up.,"Hypotension, Orthostatic",Postural hypotension,,,OH,,,,,Orthostatic,,Autonomic dysfunction,Syncope,Dizziness,Blood pressure regulation,Baroreceptor reflex,Dysautonomia,,
Pacinian corpuscle,,"A type of rapidly adapting mechanoreceptor located deep in the skin, responsible for detecting vibration and pressure.",Pacinian Corpuscles,Pacini's corpuscle,lamellar corpuscle,,,,,,,,,mechanoreceptor,vibration,pressure sensation,skin,sensory receptor,somatosensory system,,
Pain,,"An unpleasant sensory and emotional experience associated with actual or potential tissue damage. In neuroscience, pain is studied through nociception, pain pathways, and perception.",Pain,,,,,,,pain,,painful,painfully,nociception,nociceptor,pain pathway,tissue damage,sensory perception,emotional experience,,
Paralysis,,"The loss of voluntary muscle function, often caused by damage to the brain, spinal cord, or peripheral nerves.",Paralysis,,,,,,,paralysis,paralyze,paralytic,,muscle function,spinal cord injury,brain damage,peripheral nerve,motor control,,,
Paraneoplastic syndrome,,"A rare disorder triggered by an immune response to cancer that affects the nervous system. Can lead to sensory, motor, or cognitive symptoms.","Paraneoplastic Syndromes, Nervous System",paraneoplastic neurological syndrome,,,PNS,syndrome,syndrome,,,paraneoplastic,,immune response,cancer,nervous system,autoimmune,neurological disorder,,,
Parietal lobe,,"A region of the cerebral cortex located near the top and back of the brain, involved in processing somatosensory information, spatial orientation, and body awareness.",Parietal Lobe,,,,,,,,,parietal,,cerebral cortex,somatosensory,spatial orientation,body awareness,postcentral gyrus,,,
Parkinson's disease,Parkinsons disease,"A neurodegenerative disorder characterized by tremors, rigidity, bradykinesia, and postural instability. Caused by loss of dopaminergic neurons in the substantia nigra.",Parkinson Disease,Parkinsonism,,,PD,,,,,parkinsonian,,dopamine,substantia nigra,tremor,bradykinesia,rigidity,neurodegeneration,basal ganglia,
Parvocellular pathway,,"A visual processing stream originating in small ganglion cells of the retina, responsible for high-acuity and color vision. Projects to the lateral geniculate nucleus.",Visual Pathways,P pathway,,,,colour,color,,,parvocellular,,visual processing,ganglion cell,retina,color vision,lateral geniculate nucleus,visual acuity,,
Periaqueductal gray,,"A midbrain region involved in pain modulation, defensive behavior, and autonomic regulation. Contains opioid receptors and descending pain control pathways.",Periaqueductal Gray,periaqueductal grey,,,PAG,grey,gray,,,,,midbrain,pain modulation,opioid receptor,defensive behavior,autonomic regulation,descending pain pathway,,
Peripheral nervous system,,All nerves and ganglia outside the brain and spinal cord. It includes sensory and motor neurons as well as autonomic nerves.,Peripheral Nervous System,,,,PNS,,,,,peripheral,,sensory neuron,motor neuron,autonomic nervous system,ganglion,nerve,,,
Periventricular,,Located near or surrounding the brain's ventricular system. Often used to describe regions affected in diseases like multiple sclerosis.,Cerebral Ventricles,,,,,,,,,periventricular,,ventricle,ventricular system,multiple sclerosis,white matter,,,,
PET scan,,"A neuroimaging technique that uses radioactive tracers to measure metabolic processes, often used to study brain activity, neurotransmitter systems, and disease progression.",Positron-Emission Tomography,positron emission tomography,,,PET,,,,,,,neuroimaging,radioactive tracer,brain activity,metabolism,neurotransmitter,,,
Phantom limb,,"A phenomenon in which amputees feel sensations, including pain, in a limb that is no longer present. Thought to result from cortical reorganization.",Phantom Limb,,,,,,,,,,,amputation,cortical reorganization,phantom pain,somatosensory cortex,neuroplasticity,,,
Phenotype,,"The observable characteristics of an organism resulting from the interaction of its genotype with the environment. In neuroscience, may include behavioral traits, brain structure, or disease symptoms.",Phenotype,,,,,,,phenotype,,phenotypic,phenotypically,genotype,genetics,environment,behavior,brain structure,,,
Phineas Gage,,"A famous historical case in neuroscience involving a railroad worker who survived a frontal lobe injury, providing early evidence of the brain's role in personality and behavior.",Frontal Lobe,,,,,behaviour,behavior,,,,,frontal lobe,personality,behavior,brain injury,neuropsychology,case study,,
Photoreceptor,,A specialized neuron in the retina (rods and cones) that converts light into neural signals for visual processing.,Photoreceptor Cells,photoreceptor cell,,,,,,photoreceptor,,,,retina,rod,cone,vision,phototransduction,light,,
Pia mater,,The innermost of the three meninges surrounding the brain and spinal cord. It closely follows the contours of the brain surface.,Pia Mater,,,,,,,,,,,meninges,brain,spinal cord,arachnoid mater,dura mater,,,
Place cell,,A neuron in the hippocampus that becomes active when an animal is in a specific location. Central to the brain's internal spatial mapping system.,Place Cells,,,,,,,,,,,hippocampus,spatial navigation,spatial memory,cognitive map,location,,,
Plasticity,,"The brain's ability to adapt and reorganize itself through experience, learning, or following injury. See also neuroplasticity.",Neuronal Plasticity,neuroplasticity,brain plasticity,,,,,plasticity,,plastic,,learning,adaptation,reorganization,experience,injury recovery,synaptic plasticity,,
Pons,,"A structure in the brainstem that relays signals between the cerebrum and cerebellum, and plays roles in sleep, respiration, and facial sensation.",Pons,,,,,,,,,pontine,,brainstem,cerebellum,cerebrum,sleep,respiration,facial sensation,,
Postcentral gyrus,,"The gyrus in the parietal lobe that contains the primary somatosensory cortex, responsible for processing tactile information from the body.",Somatosensory Cortex,,,,,,,,,postcentral,,parietal lobe,primary somatosensory cortex,tactile,sensory processing,gyrus,,,
Posterior parietal cortex,,A region involved in integrating sensory information for spatial awareness and movement planning. Important in reaching and grasping tasks.,Parietal Lobe,,,,PPC,,,,,,,sensory integration,spatial awareness,movement planning,reaching,grasping,visuomotor control,,
Postganglionic neuron,,"A neuron in the autonomic nervous system that extends from a ganglion to a target organ, influencing functions such as heart rate and digestion.","Autonomic Fibers, Postganglionic",,,,,,,,,postganglionic,,autonomic nervous system,ganglion,preganglionic neuron,sympathetic,parasympathetic,,,
Postsynaptic potential,,A change in membrane potential in a neuron following activation of synaptic receptors. Can be excitatory (EPSP) or inhibitory (IPSP).,Excitatory Postsynaptic Potentials,,,,PSP,,,,,postsynaptic,,EPSP,IPSP,membrane potential,synapse,synaptic receptor,,,
Prefrontal cortex,,"The front part of the frontal lobe involved in decision-making, planning, social behavior, and personality. Highly developed in humans.",Prefrontal Cortex,,,,PFC,behaviour,behavior,,,prefrontal,,frontal lobe,executive function,decision-making,planning,working memory,personality,social behavior,
Presynaptic terminal,,The end of an axon where neurotransmitters are released into the synaptic cleft following an action potential.,Presynaptic Terminals,axon terminal,synaptic bouton,nerve terminal,,,,,,presynaptic,,axon,neurotransmitter,synaptic cleft,action potential,synaptic vesicle,,,
Primary motor cortex,,A region in the frontal lobe responsible for initiating voluntary motor movements. Located in the precentral gyrus.,Motor Cortex,,,,M1,,,,,,,frontal lobe,motor movement,precentral gyrus,voluntary movement,motor control,motor homunculus,,
Primary somatosensory cortex,,"Located in the postcentral gyrus of the parietal lobe, it processes tactile and proprioceptive information from the body.",Somatosensory Cortex,,,,S1,,,,,,,postcentral gyrus,parietal lobe,tactile,proprioception,sensory processing,sensory homunculus,,
Prion,,"A misfolded protein that can cause other proteins to misfold, leading to neurodegenerative diseases such as Creutzfeldt-Jakob disease.",Prions,,,,PrP,,,prion,,,,protein misfolding,Creutzfeldt-Jakob disease,neurodegeneration,transmissible spongiform encephalopathy,infectious protein,,,
Procedural memory,,"A type of long-term memory for performing tasks and skills (e.g., riding a bike), often associated with the basal ganglia and cerebellum.",Memory,,,,,,,,,procedural,,long-term memory,basal ganglia,cerebellum,skill learning,motor learning,,,
Prosopagnosia,,"A neurological disorder characterized by the inability to recognize faces, often due to damage in the fusiform face area.",Prosopagnosia,face blindness,,,,,,prosopagnosia,,,,face recognition,fusiform face area,temporal lobe,visual agnosia,facial perception,,,
Purkinje cell,,"A large, GABAergic neuron located in the cerebellar cortex. It has extensive dendritic branching and is essential for motor coordination.",Purkinje Cells,,,,,,,,,,,cerebellum,GABAergic,motor coordination,dendritic branching,cerebellar cortex,,,
Pyramidal cell,,"A type of excitatory neuron found in the cerebral cortex, especially the motor cortex. Named for its pyramid-shaped soma.",Pyramidal Cells,pyramidal neuron,,,,,,,,pyramidal,,cerebral cortex,excitatory neuron,motor cortex,glutamate,soma,,,
Pyramidal tract,,"A major motor pathway that transmits signals from the cerebral cortex to the spinal cord, enabling voluntary movement.",Pyramidal Tracts,corticospinal tract,,,,,,,,pyramidal,,motor pathway,cerebral cortex,spinal cord,voluntary movement,motor control,,,
Paresthesia,,"Paresthesia refers to a burning, itching, tingling, or prickling sensation that is usually felt in the hands, arms, legs, or feet.",Paresthesia,Paraesthesia,Pins and needles,Tingling sensation,,Paraesthesia,Paresthesia,Paresthesia,,Paresthetic,,Sensory disturbance,Peripheral neuropathy,Nerve compression,Numbness,Hyperesthesia,Dysesthesia,Nerve irritation,Tactile sensation
Pinched Nerve,,"A pinched nerve is an informal term and not a true medical term. It is used to describe one type of damage or injury to a nerve or set of nerves. The injury may result from compression, constriction, or stretching.",Radiculopathy,Nerve compression,Compressed nerve,Nerve entrapment,,,,,,,,,Radiculopathy,Nerve impingement,Spinal stenosis,Herniated disc,Carpal tunnel syndrome,Neuropathy,Nerve root compression,Sciatica
Plasmapheresis,,"Plasmapheresis is a procedure in which blood is removed, immune system cells and antibodies are taken out, and the blood is separated into plasma and blood cells. The blood is then returned to the body.",Plasmapheresis,Plasma exchange,Therapeutic plasma exchange,,TPE,,,Plasmapheresis,,,,Immunotherapy,Autoantibodies,Immunoglobulin removal,Myasthenia gravis,Guillain-Barré syndrome,Blood purification,Plasma separation,Therapeutic apheresis
Platelets,,Platelets are cell fragments in the blood that form clots to stop or prevent bleeding.,Platelets,Thrombocytes,Blood platelets,,,,,Platelet,,,Platelet,Hemostasis,Coagulation,Blood clotting,Thrombosis,Megakaryocytes,Platelet aggregation,Clotting factors,Blood cells
QEEG (Quantitative Electroencephalography),,"A technique that analyzes EEG data using mathematical algorithms and statistical comparisons to identify abnormalities in brainwave activity. Used in research, clinical diagnostics, and neurofeedback.",Electroencephalography,quantitative EEG,,,QEEG,,,,,,,EEG,brainwave,neurofeedback,brain mapping,clinical diagnostics,mathematical algorithm,statistical analysis,neurophysiology
Quadrantanopia,,"A type of partial vision loss affecting a quarter of the visual field, usually resulting from damage to the optic radiations or visual cortex.",Hemianopsia,quadrantic hemianopia,,,,,,quadrantanopia,,quadrantic,,visual field,optic radiation,visual cortex,vision loss,hemianopia,occipital lobe,visual pathway,
